iter	Passed	Remaining
146	16622	322619
147	16731	322421
148	16845	322316
149	16969	322418
150	17096	322566
151	17202	322315
152	17320	322292
153	17435	322209
154	17555	322234
155	17677	322266
156	17804	322413
157	17910	322161
158	18020	321980
159	18146	322099
160	18253	321881
161	18376	321932
162	18501	322008
163	18617	321948
164	18727	321766
165	18845	321743
166	18958	321613
167	19072	321509
168	19187	321414
169	19287	321083
170	19407	321081
171	19527	321060
172	19619	320600
173	19736	320552
174	19839	320263
175	19958	320250
176	20079	320257
177	20201	320267
178	20311	320101
179	20429	320062
180	20554	320120
181	20677	320154
182	20794	320093
183	20917	320129
184	21046	320243
185	21157	320094
186	21277	320072
187	21387	319908
188	21496	319710
189	21598	319437
190	21715	319371
191	21818	319093
192	21931	318975
193	22041	318809
194	22144	318538
195	22269	318595
196	22392	318615
197	22506	318504
198	22632	318560
199	22753	318554
200	22858	318318
201	22982	318342
202	23094	318207
203	23213	318157
204	23333	318128
205	23448	318033
206	23568	318009
207	23686	317946
208	23791	317709
209	23905	317600
210	24025	317573
211	24145	317535
212	24269	317554
213	24391	317550
214	24518	317602
215	24641	317596
216	24761	317566
217	24894	317695
218	25042	318008
219	25186	318267
220	25322	318423
221	25448	318452
222	25554	318231
223	25674	318175
224	25774	317881
225	25895	317852
226	26006	317693
227	26113	317479
228	26213	317200
229	26334	317156
230	26458	317160
231	26571	317026
232	26703	317114
233	26800	316792
234	26903	316544
235	27007	316305
236	27107	316021
237	27220	315891
238	27349	315954
239	27467	315874
240	27593	315896
241	27723	315957
242	27825	315703
243	27952	315727
244	28049	315408
245	28168	315354
246	28284	315247
247	28397	315121
248	28553	315459
249	28681	315498
250	28799	315419
251	28905	315211
252	29032	315225
253	29140	315041
254	29260	314976
255	29376	314883
256	29501	314869
257	29615	314749
258	29733	314673
259	29848	314561
260	29951	314313
261	30078	314329
262	30193	314217
263	30320	314228
264	30453	314305
265	30563	314138
266	30679	314030
267	30799	313966
268	30907	313782
269	31041	313859
270	31174	313934
271	31304	313962
272	31420	313860
273	31513	313520
274	31646	313590
275	31758	313440
276	31888	313470
277	32004	313363
278	32128	313340
279	32241	313205
280	32356	313087
281	32451	312774
282	32569	312689
283	32697	312695
284	32808	312543
285	32930	312495
286	33071	312622
287	33191	312548
288	33302	312402
289	33421	312322
290	33518	312035
291	33635	311932
292	33735	311677
293	33839	311459
294	33936	311180
295	34054	311095
296	34179	311065
297	34290	310918
298	34405	310798
299	34519	310676
300	34639	310600
301	34748	310438
302	34852	310217
303	34950	309959
304	35045	309668
305	35159	309545
306	35280	309483
307	35386	309288
308	35481	308996
309	35571	308668
310	35679	308498
311	35778	308245
312	35879	308009
313	35975	307737
314	36081	307552
315	36196	307439
316	36290	307148
317	36397	306971
318	36501	306773
319	36609	306600
320	36719	306450
321	36820	306231
322	36938	306147
323	37033	305871
324	37154	305807
325	37269	305702
326	37382	305578
327	37485	305373
328	37570	305015
329	37686	304917
330	37799	304796
331	37904	304604
332	38017	304485
333	38143	304462
334	38255	304334
335	38371	304230
336	38481	304082
337	38592	303946
338	38707	303833
339	38804	303588
340	38927	303545
341	39037	303396
342	39157	303329
343	39264	303156
344	39359	302894
345	39474	302793
346	39577	302593
347	39680	302392
348	39806	302366
349	39910	302181
350	39970	301654
351	40068	301422
352	40151	301079
353	40250	300856
354	40348	300622
355	40455	300463
356	40568	300344
357	40690	300288
358	40815	300262
359	40930	300153
360	41023	299894
361	41122	299669
362	41221	299449
363	41335	299341
364	41444	299196
365	41560	299097
366	41675	298999
367	41790	298889
368	41897	298736
369	41998	298529
370	42120	298473
371	42237	298385
372	42336	298173
373	42433	297942
374	42544	297811
375	42646	297620
376	42762	297522
377	42883	297461
378	42990	297304
379	43092	297109
380	43179	296817
381	43287	296664
382	43383	296435
383	43482	296222
384	43587	296053
385	43690	295875
386	43800	295739
387	43907	295580
388	44007	295382
389	44119	295262
390	44232	295149
391	44348	295053
392	44471	295004
393	44584	294890
394	44676	294638
395	44795	294564
396	44922	294544
397	45022	294344
398	45148	294317
